team,p_r32,p_r16,p_qf,p_sf,p_final,p_runner_up,p_champion,p_first,p_second,p_qual3
Spain,0.9902,0.72324,0.52672,0.4017,0.27858,0.09234,0.18624,0.75656,0.20504,0.0286
Argentina,0.96668,0.64704,0.48362,0.34038,0.22322,0.08448,0.13874,0.704,0.19948,0.0632
France,0.9447,0.68334,0.45128,0.29742,0.17486,0.07176,0.1031,0.57348,0.26466,0.10656
England,0.95398,0.63738,0.38402,0.23334,0.13234,0.0597,0.07264,0.5968,0.27114,0.08604
Brazil,0.92748,0.58354,0.35758,0.20928,0.11098,0.05348,0.0575,0.52348,0.29294,0.11106
Portugal,0.89988,0.57338,0.32682,0.18,0.09692,0.04954,0.04738,0.45124,0.32568,0.12296
Colombia,0.88626,0.5431,0.29584,0.16002,0.08392,0.04448,0.03944,0.40368,0.3477,0.13488
Netherlands,0.89748,0.49008,0.29146,0.15368,0.07134,0.03724,0.0341,0.46314,0.30588,0.12846
Germany,0.91822,0.53754,0.28418,0.15342,0.07318,0.03944,0.03374,0.42788,0.34162,0.14872
Ecuador,0.91396,0.5241,0.27016,0.1441,0.06754,0.03704,0.0305,0.4165,0.3463,0.15116
Mexico,0.99044,0.65504,0.34218,0.15154,0.065,0.03814,0.02686,0.65408,0.26862,0.06774
Morocco,0.84694,0.45186,0.24204,0.11784,0.05142,0.02994,0.02148,0.31698,0.36102,0.16894
Belgium,0.8889,0.53432,0.2704,0.1125,0.05126,0.03054,0.02072,0.49424,0.2665,0.12816
Norway,0.80356,0.43984,0.22998,0.1106,0.04792,0.02806,0.01986,0.2364,0.35354,0.21362
Turkey,0.7931,0.48552,0.23916,0.1053,0.04754,0.02778,0.01976,0.30704,0.3165,0.16956
Japan,0.8515,0.41836,0.22818,0.11142,0.04724,0.02796,0.01928,0.35986,0.33926,0.15238
Uruguay,0.88664,0.39742,0.21392,0.10764,0.04912,0.03014,0.01898,0.2108,0.55678,0.11906
Switzerland,0.92688,0.54102,0.2577,0.10586,0.0448,0.02728,0.01752,0.51272,0.2807,0.13346
Croatia,0.8481,0.43856,0.19602,0.09554,0.04244,0.02528,0.01716,0.28134,0.39784,0.16892
United States,0.96688,0.56126,0.25818,0.09346,0.0381,0.02514,0.01296,0.5156,0.31332,0.13796
Canada,0.90286,0.49644,0.2242,0.08062,0.02878,0.01942,0.00936,0.37236,0.3969,0.1336
Senegal,0.7128,0.34782,0.16004,0.0684,0.02574,0.01642,0.00932,0.16416,0.29786,0.25078
South Korea,0.95846,0.51954,0.20976,0.07646,0.0263,0.01806,0.00824,0.31342,0.5333,0.11174
Austria,0.67988,0.2449,0.10904,0.04352,0.0161,0.0109,0.0052,0.1334,0.33564,0.21084
Australia,0.59362,0.285,0.10706,0.0376,0.01294,0.00828,0.00466,0.146,0.23742,0.2102
Algeria,0.66784,0.24166,0.10382,0.04026,0.01444,0.00996,0.00448,0.12774,0.32474,0.21536
Iran,0.72026,0.3202,0.11484,0.03536,0.0119,0.0084,0.0035,0.23298,0.2913,0.19598
Paraguay,0.3699,0.17386,0.06652,0.02774,0.00994,0.00676,0.00318,0.03136,0.13276,0.20578
Ivory Coast,0.68842,0.26256,0.09388,0.02964,0.00916,0.00634,0.00282,0.13922,0.25274,0.29646
Scotland,0.60706,0.22652,0.088,0.0288,0.00862,0.00624,0.00238,0.12074,0.23852,0.2478
Egypt,0.6543,0.26284,0.08422,0.02398,0.00744,0.00554,0.0019,0.1816,0.2679,0.2048
Panama,0.5798,0.19384,0.06148,0.01948,0.00572,0.00438,0.00134,0.09392,0.23072,0.25516
Czech Republic,0.47832,0.1989,0.0687,0.017,0.0049,0.0036,0.0013,0.02678,0.12402,0.32752
Sweden,0.55154,0.16574,0.05864,0.01864,0.00516,0.00394,0.00122,0.11654,0.20906,0.22594
Uzbekistan,0.47816,0.16224,0.04872,0.01536,0.00428,0.0031,0.00118,0.08138,0.1789,0.21788
DR Congo,0.40318,0.12154,0.0341,0.00952,0.00232,0.0019,0.00042,0.0637,0.14772,0.19176
Tunisia,0.384,0.08904,0.02542,0.00656,0.00158,0.00122,0.00036,0.06046,0.1458,0.17774
Bosnia and Herzegovina,0.61818,0.1721,0.04318,0.0076,0.00134,0.00106,0.00028,0.084,0.23918,0.295
Jordan,0.32564,0.07496,0.0204,0.00458,0.00102,0.00082,0.0002,0.03486,0.14014,0.15064
Haiti,0.29624,0.06996,0.01742,0.00364,0.00068,0.00054,0.00014,0.0388,0.10752,0.14992
Saudi Arabia,0.34348,0.06904,0.01582,0.00296,0.00046,0.00032,0.00014,0.01842,0.12806,0.197
Iraq,0.23008,0.05806,0.01448,0.00338,0.00062,0.0005,0.00012,0.02596,0.08394,0.12018
New Zealand,0.44206,0.13108,0.03024,0.00614,0.00136,0.00124,0.00012,0.09118,0.1743,0.17658
South Africa,0.22374,0.06348,0.01534,0.00206,0.00058,0.00048,0.0001,0.00572,0.07406,0.14396
Ghana,0.26994,0.0568,0.01088,0.002,0.00038,0.00032,6e-05,0.02794,0.1003,0.1417
Cape Verde,0.29882,0.05498,0.01262,0.00246,0.0004,0.00038,2e-05,0.01422,0.11012,0.17448
Qatar,0.24076,0.04348,0.00692,0.00066,0.0001,0.0001,0.0,0.03092,0.08322,0.12662
Curaçao,0.17888,0.02748,0.00482,0.00054,2e-05,2e-05,0.0,0.0164,0.05934,0.10314
